Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
437,,Binding affinity to human androgen receptor expressed in HEK293 cells at 0.1 uM relative to R1881,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL905279
438,,Binding affinity to human androgen receptor expressed in HEK293 cells at 1 uM relative to R1881,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL905280
439,,Binding affinity to human androgen receptor expressed in monkey COS7 cells by whole cell binding assay,whole cell binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL930492
440,,Binding affinity to human androgen receptor ligand binding domain expressed in Escherichia coli BL21 cells by surface plasmon resonance analysis,surface plasmon resonance analysis,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1925690
441,,Binding affinity to human AR NTD (1 to 561 aa) expressed in CV1 cells coexpressing human AR-LBD (644-919 aa) assessed as N/C-termini interaction by androgenic assay,androgenic assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3243253
442,,Binding affinity to human recombinant androgen receptor,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1247733
443,,Binding affinity to human recombinant androgen receptor expressed in baculovirus infected Sf9 cells,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1261749
444,,Binding affinity to human recombinant androgen receptor expressed in SF9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL931334
445,,Binding affinity to rat AR,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL916225
446,,Binding affinity to rat androgen receptor by competitive inhibition assay,Competitive Binding Assay,Binding,Other,Binding,Rattus norvegicus,,CHEMBL1008813
447,,Binding affinity to rat androgen receptor ligand binding domain by competitive fluorescence polarization assay,competitive fluorescence polarization assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1053324
448,,Binding affinity to rat androgen receptor ligand binding domain by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL2352670
449,,Binding affinity to rat ventral prostate androgen receptor at 0.01 uM,radioimmunoassay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL963267
450,,Binding affinity to rat ventral prostate androgen receptor at 0.1 uM,radioimmunoassay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL963265
451,,Binding affinity to rat ventral prostate androgen receptor at 1 uM,radioimmunoassay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL963268
452,,Binding affinity to rat ventral prostate androgen receptor at 10 uM,radioimmunoassay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL963266
453,,Binding affinity to recombinant human androgen receptor expressed in baculovirus infected sf9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4042895
454,,"Binding affinity to Steroid Hormone Receptor was determined using [6,7-3H] R 1881 as radioligand",Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL807666
455,,"Binding affinity to the human androgen receptor (hAR), using [3H]DHT as radioligand in a competitive binding assay",competitive binding assay,Binding,other,Binding,Homo sapiens,,CHEMBL648839
456,,Binding affinity to wild type androgen receptor by competitive binding assay,competitive binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1786227
457,,Binding affinity to YFP-fused AR (unknown origin) by cell based fluorimetric assay,fluorimetric assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4259204
458,,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",competitive binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648840
459,,Binding Affinity towards Rat Androgen Receptor was determined using [3H]- mibolerone as radioligand.,Competitive Binding Assay,Binding,Other,Binding,Rattus norvegicus,,CHEMBL649835
460,,Binding affinity was determined on Human androgen receptor (hAR) using progesterone as radioligand.,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL651955
461,,Binding selectivity index (BSI) as ratio of RBA for androgen receptor to non-specific binding of R1881,competitive radiometric assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL844269
462,,Binding to rat prostate Androgen receptor compared to dihydrotestosterone,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL648264
463,,"In order to demonstrate the utility of the compounds of this invention, an androgen receptor binding assay was performed wherein many of the compounds of this invention are shown to demonstrate significant affinity for the androgen receptor. The assay was performed as specified by the manufacturer (Invitrogen, Madison, Wis.). ",Biological Assay,Binding,Other,Binding,Rattus norvegicus,,
464,,Competitive binding affinity to rat androgen receptor,Binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1912974
465,,Competitive inhibition of androgen binding to androgen receptor (unknown origin) by invitrogen polar screen assay,invitrogen polar screen assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL3606495
466,,Competitive reversible inhibition of human androgen receptor LBD expressed in human MDA 435-kb2 cells at IC10 to IC70 in presence of dihydroxytestosterone,Competitive steroid binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2390351
467,,Cross-reactivity as binding to human androgen receptor (hAR),cotransfection assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL649561
468,,Direct reversible binding affinity to super-streptavidin bound biotinylated androgen receptor ligand binding domain (unknown origin) expressed in Escherichia coli BL21 by bio-layer Interferometry assay,bio-layer Interferometry assay,Binding,assay format,Binding,Homo sapiens,,CHEMBL3369086
469,,Displacement of [17-alpha-methyl-3H]mibolerone from androgen receptor expressed in HEK293 cells after 3 hrs,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1960482
470,,Displacement of [17-alpha-methyl-3H]-mibolerone from human androgen receptor expressed in HEK293 derived FreeStyle293F cells after 3 hrs,inhibitory assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1937839
471,,Displacement of [17-alpha-methyl-H-3] mibolerone from wild-type androgen receptor (unknown origin) expressed in Freestyle293F cells measured after 3 hrs dextran/charcoal based method,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4012500
472,,Displacement of [17-alpha-methyl-H-3] mibolerone from wild-type androgen receptor (unknown origin) expressed in human Freestyle293F cells measured after 3 hrs,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4219476
473,,Displacement of [18F]-FDHT from androgen receptor in human LNCAP/AR cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3863650
474,,Displacement of [3H[DHT from androgen receptor endogenously expressed in human MDA-MB-453 cells,Competitive Binding Assay,Binding,Other,Binding,Homo sapiens,,CHEMBL996725
475,,Displacement of [3H] ]5alpha-DHT from mouse androgen receptor expressed in monkey COS7 cells after 2 hrs by scintillation counting analysis,Competitive steroid binding assay,Binding,cell-based format,Binding,Mus musculus,,CHEMBL2341003
476,,Displacement of [3H] methyltrienolone from androgen receptor in human LNCAP cells at 10 uM after 20 hrs by scintillation counting method,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4184514
477,,Displacement of [3H]dexamethasone from human androgen receptor,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648074
478,,Displacement of [3H]DHT from androgen receptor,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL935261
479,,Displacement of [3H]dihydrotesterone from androgen receptor at 10 uM,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL890441
480,,Displacement of [3H]DHT from androgen receptor expressed in MDA-MB-453 cells,Competitive Binding Assay,Binding,Other,Binding,Homo sapiens,,CHEMBL888425
481,,Displacement of [3H]DHT from androgen receptor expressed in Sf9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL923796
482,,Displacement of [3H]DHT from androgen receptor in human MDA-MB-435 cells after 30 mins,cell-based transactivation assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL3371986
483,,Displacement of [3H]DHT from androgen receptor in human MDA-MB-453 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3869525
484,,Displacement of [3H]-DHT from androgen receptor in human MDA-MB-453 cells after 90 mins by TopCount analysis,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3624233
485,,Displacement of [3H]dihydrotestosterone from androgen receptor in Wistar rat ventral prostate at 100 ug/mL by liquid scintillation counting,liquid scintillation counting,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL994664
486,,Displacement of [3H]dihydrotestosterone from androgen receptor in Wistar rat ventral prostate at 15 ng/mL by liquid scintillation counting,liquid scintillation counting,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL991973
487,,Displacement of [3H]dihydrotestosterone from androgen receptor in Wistar rat ventral prostate at 200 ug/mL by liquid scintillation counting,liquid scintillation counting,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL994665
488,,Displacement of [3H]dihydrotestosterone from androgen receptor in Wistar rat ventral prostate at 50 ug/mL by liquid scintillation counting,liquid scintillation counting,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL994663
489,,Displacement of [3H]dihydrotestosterone from androgen receptor in Wistar rat ventral prostate at 7.5 ng/mL by liquid scintillation counting,liquid scintillation counting,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL991972
490,,Displacement of [3H]DHT from androgen receptor of human MDA-453 cells,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL826376
491,,Displacement of [3H]dihydrotestosterone from GST-tagged human androgen receptor expressed in Escherichia coli HB101 at 10 uM by liquid scintillation counting relative to dihydrotestosterone,liquid scintillation counting,Binding,assay format,Binding,Homo sapiens,,CHEMBL1176966
492,,Displacement of [3H]DHT from GST-tagged human AR-LBD transfected in Escherichia coli HB-101 at 10 uM,Binding Assay,Binding,assay format,Binding,Homo sapiens,,CHEMBL975402
493,,Displacement of [3H]DHT from human Androgen receptor,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648837
494,,Displacement of [3H]DHT from human androgen receptor after 16 hrs by scintillation counting,scintillation counting,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1169306
495,,Displacement of [3H]DHT from human androgen receptor expressed in Escherichia coli BL21 cells,Androgen Displacement Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1925691
496,,Displacement of [3H]DHT from human androgen receptor expressed in MDA-MB-453 cells by whole cell receptor binding assay,Competitive Binding Assay,Binding,Other,Binding,Homo sapiens,,CHEMBL911185
497,,Displacement of [3H]dihydrotestosterone from human androgen receptor expressed in Sf9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL940963
498,,Displacement of [3H]DHT from human Androgen receptor in human MDA-MB-453 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL933554
499,,Displacement of [3H]DHT from human androgen receptor in MDA453 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL896728
500,,Displacement of [3H]DHT from human AR expressed in baculovirus Sf9 cells system by scintillation counting,scintillation counting,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1118176
501,,Displacement of [3H]DHT from human AR expressed in MDA-MB-453 cells,Competitive Binding Assay,Binding,Other,Binding,Homo sapiens,,CHEMBL916638
502,,Displacement of [3H]DHT from human cloned androgen receptor expressed in insect Sf9 cell system,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL987689
503,,Displacement of [3H]DHT from human cloned androgen receptor expressed in Sf9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL964136
504,,Displacement of [3H]-DHT from human GST fused AR-LBD (627 to 919 amino acids) transfected in Escherichia coli HB 101 after 15 hrs by liquid scintillation counting assay,scintillation counting assay,Binding,assay format,Binding,Homo sapiens,,CHEMBL3626370
505,,Displacement of [3H]-DHT from human GST-tagged androgen receptor LBD (627 to 919) expressed in Escherichia coli HB-101 after 15 hrs by liquid scintillation counting analysis,Binding Assay,Binding,assay format,Binding,Homo sapiens,,CHEMBL2446673
506,,Displacement of [3H]dihydrotestosterone from human recombinant androgen receptor expressed in SF9 baculovirus cells,Competitive Binding Assay,Binding,Other,Binding,Homo sapiens,,CHEMBL914366
507,,Displacement of [3H]DHT from human recombinant AR expressed in Sf9 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL899495
508,,Displacement of [3H]DHT from human recombinant androgen receptor-LBD expressed in Escherichia coli after 18 hrs by liquid scintillation counting,liquid scintillation counting,Binding,assay format,Binding,Homo sapiens,,CHEMBL1838302
509,,Displacement of [3H]-DHT from recombinant human androgen receptor expressed in CHO cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4058444
510,,Displacement of [3H]-methyltrienolone from androgen receptor (unknown origin) expressed in HEK293 cell lysate incubated overnight by microbeta scintillation counting method,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3767965
511,,Displacement of [3H]methyltrienolone from androgen receptor in human LNCaP cells after 1440 mins by scintillation counting method,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4194583
512,,Displacement of [3H]-Methyltrienolone from androgen receptor in human LNCAP cells at 10 uM relative to control,Bioassay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2446272
513,,Displacement of [3H]methyltrienolone from androgen receptor in human MDA-MB-453 cells,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1062413
514,,Displacement of [3H]methyltrienolone from androgen receptor in human prostate cancer cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3592008
515,,Displacement of [3H]methyltrienolone from cytosolic fraction of androgen receptor in human LANCAP cells after 24 hrs by scintillation counting analysis,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3583487
516,,Displacement of [3H]methyltrienolone from human androgen receptor at 10 uM after 1440 mins by scintillation counting method,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL4179904
517,,Displacement of [3H]-methyltrienolone from human androgen receptor expressed in HEK293 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3122503
518,,Displacement of [3H]-methyltrienolone from human androgen receptor expressed in HEK293 cells by scintillation counting based radioligand competition binding assay,radioligand competition binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3607225
519,,Displacement of [3H]-methyltrienolone from human androgen receptor overexpressed in HEK293 cells by microbeta counting assay,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2188777
520,,Displacement of [3H]MIB binding from cytosolic androgen receptor from ventral prostate of rats,Cytosolic AR-binding assay,Binding,tissue-based format,Binding,Rattus norvegicus,,CHEMBL648261
521,,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,scintillation counting,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1785913
522,,Displacement of [3H]MIB from rat prostate cytosol androgen receptor at 1x10'-10 to 1x10'-7 M relative to control,Cotransfection Assays,Reporter gene,single protein format,Binding,Rattus norvegicus,,CHEMBL3373988
523,,Displacement of [3H]-MIB from rat prostate cytosolic androgen receptor by liquid scintillation counting method,Binding Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL4002307
524,,Displacement of [3H]mibolerone from androgen receptor (unknown origin) after 3 hrs,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL3404787
525,,Displacement of [3H]mibolerone from androgen receptor (unknown origin) in membranes after 24 hrs by HAP adsorption assay,HAP adsorption assay,Binding,assay format,Binding,Homo sapiens,,CHEMBL3863626
526,,Displacement of [3H]-Mibolerone from testosterone receptor at 1 to 3 uM,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1291028
527,,Displacement of [3H]mibolerone from androgen receptor expressed in CHOK1 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL914604
528,,Displacement of [3H]mibolerone from androgen receptor in intact rat ventral prostate cytosol by competitive binding assay,competitive binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3881927
529,,Displacement of [3H]mibolerone from full length human AR expressed in COS cells after 3.5 hrs by liquid scintillation counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3243251
530,,Displacement of [3H]mibolerone from human Androgen receptor,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648076
531,,Displacement of [3H]mibolerone from human androgen receptor expressed in African green monkey COS cells after 3.5 hrs by scintillation and luminescene counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL4040321
532,,Displacement of [3H]mibolerone from human androgen receptor expressed in CHOK1 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL899659
533,,Displacement of [3H]mibolerone from human AR after 3 hrs,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL4021499
534,,Displacement of [3H]mibolerone from human AR expressed in CHO-K1 cells after 2 hrs by scintillation counting,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1121343
535,,Displacement of [3H]mibolerone from human AR expressed in COS cells after 3.5 hrs by liquid scintillation counting analysis,scintillation counting method,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3222681
536,,Displacement of [3H]mibolerone from rat androgen receptor,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL937557
537,,Displacement of [3H]mibolerone from rat androgen receptor at 10 uM,cotransfection assay,Reporter gene,single protein format,Binding,Rattus norvegicus,,CHEMBL3381771
538,,Displacement of [3H]-mibolerone from rat prostate cytosolic Androgen receptor,Competitive Binding Assay,Binding,Other,Binding,Rattus norvegicus,,CHEMBL649834
539,,Displacement of [3H]Mibolerone from rat recombinant androgen receptor expressed in Escherichia coli after 4 hrs,Binding Assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL2395282
540,,Displacement of [3H]Mibolerone from rat recombinant androgen receptor expressed in Escherichia coli at 10 uM after 4 hrs relative to control,Binding Assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL2393873
541,,Displacement of [3H]R1881 from androgen receptor in human LNCAP cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3418492
542,,Displacement of [3H]R1881 from AR in human LNCaP cells after 2 hrs by scintillation counting analysis,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2395386
543,,Displacement of [3H]R1881 from AR in human LNCaP cells at 0.1 nM to 30000 nM after 2 hrs by scintillation counting analysis,binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2395388
544,,Displacement of [3H]R1881 from androgen receptor in human LNCAP cells at 1 uM after 24 hrs by liquid scintillation counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3371354
545,,Displacement of [3H]R1881 from AR in human LNCaP cells at 10 uM after 2 hrs by scintillation counting analysis,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2395389
546,,Displacement of [3H]R1881 from androgen receptor in human LNCAP cells at 2 uM after 24 hrs by liquid scintillation counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3371355
547,,Displacement of [3H]R1881 from AR in human LNCaP cells at 30 uM after 2 hrs by scintillation counting analysis,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2395390
548,,Displacement of [3H]-R1881 from AR in human LNCaP cells preincubated for 30 mins followed by [3H]-R1881 addition measured after 30 mins by microbeta scintillation counter method,Inhibitory assay,Binding,cell-based format,antagonist,Homo sapiens,,CHEMBL4021779
549,,Displacement of [3H]R1881 from AR in human MDA-MB-453 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2395387
550,,Displacement of [3H]R1881 from androgen receptor in human PC3 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3418493
551,,Displacement of [3H]R1881 from full length androgen receptor in human LNCAP cells,radiolabelled assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2352665
552,,Displacement of [3H]R1881 from human androgen receptor expressed in HEK293 cells relative to control,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL977791
553,,Displacement of [3H]R1881 from mutated androgen receptor expressed in human LNCaP cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL978655
554,,Displacement of [3H]R1881 from pSG5-tagged human androgen receptor expressed in COS1 cells assessed as relative binding inhibition,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3411794
555,,Displacement of [3H]R1881 from rat androgen receptor,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL909546
556,,Displacement of [3H]R1881 from rat androgen receptor at 30 uM relative to control,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL909547
557,,Displacement of [3H]R1881 from rat AR relative to R1881,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL916726
558,,Displacement of [3H]R1881 from wild type androgen receptor expressed in human PC3 cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL978656
559,,Displacement of [3H]R1881 from wild type androgen receptor expressed in human PC3 cells at 10 uM,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL978657
560,,Displacement of [3H]R1881 from wild type androgen receptor expressed in human PC3 cells at 20 uM,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL978658
561,,Displacement of [3H]R1881 from wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 after 15 mins by scintillation assay relative to untreated control,reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL2162623
562,,Displacement of [3H]testosterone from AR,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1929758
563,,Displacement of [3H]testosterone from androgen receptor (unknown origin) expressed in 293 cells after 16 hrs by scintillation counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL3381812
564,,Displacement of [3H]testosterone from androgen receptor expressed in human T47D cells,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL987434
565,,Displacement of [3H]testosterone from androgen receptor in Sprague-Dawley rat prostate gland after 2 hrs by liquid scintillation counting,liquid scintillation counting,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1912986
566,,Displacement of [3H]-Testosterone from human AR expressed in 293 cells after 16 hrs by scintillation counting,Binding Assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL2423840
567,,Displacement of [3H]-testosterone from human recombinant androgen receptor expressed in baculovirus infected insect cells at 1100 nM,Cytosolic AR-binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1913334
568,,Displacement of [3H]-testosterone from human recombinant androgen receptor expressed in baculovirus infected insect cells at 1200 nM,Cytosolic AR-binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1913335
569,,Displacement of [3H]-testosterone from human recombinant androgen receptor expressed in baculovirus infected insect cells at 2000 nM,Cytosolic AR-binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1913333
570,,Displacement of [3H]testosterone from Sprague-Dawley rat AR by liquid scintillation counting,liquid scintillation counting,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1686598
571,,Displacement of [3H]testosterone from wild type human androgen receptor,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1013140
572,,Displacement of [3H]testosterone from wild type human androgen receptor at 1 uM,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1013142
573,,Displacement of [3H]testosterone from wild type human androgen receptor at 3 uM,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1013143
574,,Displacement of [3H]testosterone from wild type human androgen receptor at 30 uM,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1013141
575,,Displacement of [3H}-MIB from rat prostate cytosol androgen receptor assessed as relative binding affinity,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3737757
576,,Displacement of 5-iodoacetamidofluorescein labeled SRC23 peptide CKENALLRYLLDKDD human androgen receptor AF2 site expressed in Escherichia coli BL21 cells by fluorescence polarization assay,fluorescence polarization assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL1925692
577,,Displacement of androgen fluormone from androgen receptor at 100 uM,Binding Assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL909322
578,,Displacement of androgen fluormone from rat androgen receptor,Cytosolic AR-binding assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL909323
579,,Displacement of androgen from androgen binding site of androgen receptor (unknown origin),Displacement assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2318832
580,,Displacement of androgen from androgen receptor (unknown origin) by Polarscreen competitor green assay,Polarscreen competitor green assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL3374330
581,,Displacement of androgen from His-GST tagged rat AR hormone binding site at 10 uM assessed as decrease in fluorescence polarization,Binding Assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL1826241
582,,Displacement of DHT from human androgen receptor,Binding assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL648841
583,,Displacement of DHT from human androgen receptor expressed in baculovirus SF-12 cells,Binding assay,Binding,cell-based format,Binding,Homo sapiens,,CHEMBL648375
584,,Displacement of dihydrotestosterone from human recombinant AR ligand binding domain at 15 uM by fluorescence polarization method,fluorescence polarization method,Binding,single protein format,Binding,Homo sapiens,,CHEMBL887928
585,,Displacement of fluorescein-CSSRFESLFAGEKESR from human androgen receptor-LBD after 1 hr by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL3135862
586,,Displacement of fluorescently labeled ligand from androgen receptor by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1914152
587,,Displacement of fluorescent-tagged R1881 from androgen receptor after 4 hrs by fluorometric assay,fluorometric assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1679746
588,,Displacement of Fluormone AL Green from androgen receptor ligand binding domain (unknown origin) after 4 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2446110
589,,Displacement of fluormone from AR LBD after 4 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL2089652
590,,Displacement of fluormone labelled AL green from rat recombinant His/GST-tagged androgen receptor LBD after 4 to 6 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL4031195
591,,Displacement of fluormone-AL Green from recombinant rat His-tagged/GST-fused androgen receptor LBD expressed in baculovirus expression system measured after 1.5 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,assay format,Binding,Rattus norvegicus,,CHEMBL4058430
592,,Displacement of Fluormone-DHT from rat GST-tagged rat AR LBD expressed in insect cells after 4 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,cell-based format,Binding,Rattus norvegicus,,CHEMBL4275691
593,,Displacement of Fluormone-DHT from rat GST-tagged rat AR LBD expressed in insect cells at 1 to 10 uM after 4 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,cell-based format,Binding,Rattus norvegicus,,CHEMBL4275690
594,,Displacement of fluormone-DHT green from His/GST-tagged rat AR ligand binding domain after 4 to 8 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Rattus norvegicus,,CHEMBL3864026
595,,Displacement of radiolabeled mibolerone from human androgen receptor by filter paper assay,filter paper assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL947312
596,,Displacement of radioligand from androgen receptor by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL1022893
